station-num,station-region,typhoon,date,wind-avg-speed,wind-avg-strength,wind-moment-speed,wind-moment-strength,daily-rain,type
2,臺北,薔密,2008/9/27,6.8,4,15,7,32,4
2,臺北,哈格比,2008/9/23,9.1,5,18.6,8,0.5,4
2,臺北,哈格比,2008/9/22,7.9,4,15.7,7,1.5,4
2,臺北,辛樂克,2008/9/16,5.1,3,12.3,6,0,4
2,臺北,辛樂克,2008/9/15,7.5,4,17.1,7,79,4
2,臺北,辛樂克,2008/9/14,8.8,5,23.5,9,282.5,2
2,臺北,辛樂克,2008/9/13,8.1,5,23.4,9,214.5,2
2,臺北,辛樂克,2008/9/12,6.8,4,18,8,16.5,2
2,臺北,如麗,2008/8/21,4.2,3,8.4,5,0,4
2,臺北,如麗,2008/8/20,7.6,4,15.4,7,0,4
2,臺北,鳳凰,2008/7/29,3.8,3,7.3,4,4.4,4
2,臺北,鳳凰,2008/7/28,10.2,5,23,9,89.5,2
2,臺北,鳳凰,2008/7/27,8.3,5,18.9,8,28.8,4
2,臺北,卡玫基,2008/7/18,5.2,3,10.3,5,29.5,4
2,臺北,卡玫基,2008/7/17,5.2,3,12.2,6,13.7,4
2,臺北,米塔,2007/11/27,4.8,3,11.4,6,61.5,4
2,臺北,柯羅莎,2007/10/7,5.7,4,10.8,6,32.5,2
2,臺北,柯羅莎,2007/10/6,12.6,6,35.2,12,220,3
2,臺北,柯羅莎,2007/10/5,8.2,5,18.7,8,8.6,4
2,臺北,韋帕,2007/9/19,3.2,2,8.6,5,22,4
2,臺北,韋帕,2007/9/18,8.8,5,20.5,8,95,2
2,臺北,聖帕,2007/8/19,4.7,3,10,5,5.1,4
2,臺北,聖帕,2007/8/18,13,6,30.4,11,80.3,3
2,臺北,聖帕,2007/8/17,7.6,4,16.8,7,45.2,2
2,臺北,梧提,2007/8/9,6.6,4,14,7,3,4
2,臺北,帕布,2007/8/8,7.5,4,17.4,8,13.4,4
2,臺北,帕布,2007/8/7,6,4,12.2,6,41.6,4
2,臺北,珊珊,2006/9/16,6.3,4,18.1,8,25.5,4
2,臺北,珊珊,2006/9/15,6.6,4,15.2,7,39,4
2,臺北,桑美,2006/8/10,4.1,3,8.7,5,38.5,4
2,臺北,寶發,2006/8/9,8.4,5,15.7,7,11.5,4
2,臺北,寶發,2006/8/8,5.1,3,12.5,6,16.4,4
2,臺北,凱米,2006/7/26,3.7,3,6.4,4,7.2,4
2,臺北,凱米,2006/7/25,11.7,6,26.4,10,5,1
2,臺北,凱米,2006/7/24,8.1,5,16.6,7,23.9,4
2,臺北,碧利斯,2006/7/15,2.7,2,5.2,3,6,4
2,臺北,碧利斯,2006/7/14,4.8,3,8.6,5,26.6,4
2,臺北,碧利斯,2006/7/13,8.3,5,18.3,8,60.9,4
2,臺北,艾維尼,2006/7/9,6.1,4,11.9,6,5.8,4
2,臺北,艾維尼,2006/7/8,7.5,4,14.2,7,0.4,4
2,臺北,珍珠,2006/5/18,5.1,3,11.1,6,0,4
2,臺北,珍珠,2006/5/17,7.1,4,13,6,61.6,4
3,板橋,天鵝,2015/8/23,5.1,3,12.5,6,21.5,4
3,板橋,天鵝,2015/8/22,5.7,4,12.4,6,0.5,4
3,板橋,天鵝,2015/8/21,5.7,4,11.8,6,0,4
3,板橋,蘇迪勒,2015/8/9,3.1,2,5.6,4,0.7,4
3,板橋,蘇迪勒,2015/8/8,19,8,36.7,12,236,3
3,板橋,蘇迪勒,2015/8/7,12,6,25.2,10,13.5,3
3,板橋,昌鴻,2015/7/11,9.3,5,17.9,8,0,4
3,板橋,昌鴻,2015/7/10,7.7,4,14.7,7,88,2
3,板橋,蓮花,2015/7/9,6.6,4,10.6,5,5.5,4
3,板橋,蓮花,2015/7/8,5,3,13.2,6,0,4
3,板橋,蓮花,2015/7/7,4.3,3,8.8,5,0,4
3,板橋,紅霞,2015/5/11,3.5,3,11.5,6,1,4
3,板橋,鳳凰,2014/9/22,5.8,4,11.7,6,85.5,4
3,板橋,鳳凰,2014/9/21,4.9,3,11.2,6,79.5,2
3,板橋,鳳凰,2014/9/20,6,4,13,6,0,4
3,板橋,麥德姆,2014/7/23,8.4,5,22.5,9,40,2
3,板橋,麥德姆,2014/7/22,7.3,4,16.3,7,25.5,4
3,板橋,哈吉貝,2014/6/15,2,2,4.7,3,2.5,4
3,板橋,菲特,2013/10/7,3.7,3,7.1,4,1.4,4
3,板橋,菲特,2013/10/6,6.8,4,16.1,7,17.5,4
3,板橋,菲特,2013/10/5,4.9,3,11.1,6,37.5,4
3,板橋,天兔,2013/9/22,6.6,4,15.7,7,4,4
3,板橋,天兔,2013/9/21,8.1,5,17.6,8,31,4
3,板橋,天兔,2013/9/20,6.3,4,14.3,7,52,4
3,板橋,康芮,2013/8/29,7.4,4,13.2,6,56.5,4
3,板橋,康芮,2013/8/28,5.5,4,11.7,6,0,4
3,板橋,潭美,2013/8/22,2.7,2,5,3,56,4
3,板橋,潭美,2013/8/21,6.6,4,14.9,7,150.5,2
3,板橋,西馬隆,2013/7/18,7.2,4,15.3,7,0,4
3,板橋,蘇力,2013/7/13,14,7,31.5,11,68.5,3
3,板橋,蘇力,2013/7/12,8.6,5,23.1,9,33.5,2
3,板橋,杰拉華,2012/9/28,5.9,4,14.6,7,7,4
3,板橋,天秤,2012/8/28,5.7,4,10.5,5,6.5,4
3,板橋,天秤,2012/8/27,3.8,3,6.2,4,5.5,4
3,板橋,天秤,2012/8/25,6.9,4,14.3,7,0,4
3,板橋,天秤,2012/8/24,7.6,4,15.6,7,0.2,4
3,板橋,天秤,2012/8/23,5.8,4,11.6,6,24,4
3,板橋,天秤,2012/8/22,5.1,3,9.4,5,22.5,4
3,板橋,啟德,2012/8/15,6.2,4,13.1,6,0,4
3,板橋,海葵,2012/8/7,8.4,5,14.5,7,0,4
3,板橋,蘇拉,2012/8/3,5.7,4,11.9,6,5,4
3,板橋,蘇拉,2012/8/2,8.4,5,18.9,8,160,2
3,板橋,蘇拉,2012/8/1,7.1,4,18.5,8,77.5,2
3,板橋,蘇拉,2012/7/31,7.7,4,17.1,7,34.5,4
3,板橋,杜蘇芮,2012/6/29,8.2,5,13.9,7,0,4
3,板橋,泰利,2012/6/21,3.4,3,5.5,4,10,4
3,板橋,泰利,2012/6/20,6,4,10.2,5,20.5,2
3,板橋,南瑪都,2011/8/31,4.3,3,7.4,4,1.5,4
3,板橋,南瑪都,2011/8/30,3.8,3,7.5,4,15.5,4
3,板橋,南瑪都,2011/8/29,9.2,5,19,8,3.5,2
3,板橋,南瑪都,2011/8/28,7.5,4,17.2,8,24,4
3,板橋,梅花,2011/8/6,6.4,4,11.9,6,20.5,4
3,板橋,梅花,2011/8/5,4.6,3,9.6,5,2.2,4
3,板橋,米雷,2011/6/25,7.9,4,17.6,8,155.5,4
3,板橋,米雷,2011/6/24,7.4,4,13.7,6,28,4
3,板橋,桑達,2011/5/28,5.9,4,13.4,6,19.5,4
3,板橋,艾利,2011/5/10,4,3,6.6,4,0,4
3,板橋,梅姬,2010/10/23,5.6,4,10.4,5,0,4
3,板橋,梅姬,2010/10/22,6.3,4,14.4,7,25,4
3,板橋,凡那比,2010/9/20,10.7,5,22.1,9,24,4
3,板橋,凡那比,2010/9/19,10.2,5,24.8,10,66.5,3
3,板橋,凡那比,2010/9/18,4.3,3,9.9,5,13.4,4
3,板橋,莫蘭蒂,2010/9/10,4.2,3,8.3,5,1.2,4
3,板橋,萊羅克,2010/9/2,3.9,3,7,4,5,4
3,板橋,萊羅克,2010/9/1,5.9,4,10.4,5,0,4
3,板橋,南修,2010/8/31,6.8,4,12.2,6,35,4
3,板橋,芭瑪,2009/10/6,6.8,4,12.8,6,10.2,4
3,板橋,芭瑪,2009/10/5,9.2,5,19.4,8,90.5,4
3,板橋,芭瑪,2009/10/4,7.1,4,16.8,7,3.5,4
3,板橋,莫拉克,2009/8/10,4.3,3,8.2,5,4.5,4
3,板橋,莫拉克,2009/8/9,7.5,4,13.9,7,29.5,4
